 249,O      ,CS     ,CO     ,S     ,   ,  , 2.7e-10, 0.00,   760.0,NE
 250,O      ,CS     ,SO     ,C     ,   ,  , 4.7e-11, 0.50, 28940.0,NE
 251,O      ,CO2    ,CO     ,O2    ,   ,  , 2.8e-11, 0.00, 26500.0,NE
 252,O      ,N2O    ,O2     ,N2    ,   ,  , 1.7e-10, 0.00, 14100.0,NE
 253,O      ,N2O    ,NO     ,NO    ,   ,  , 1.2e-10, 0.00, 13400.0,NE
 254,O      ,NO2    ,NO     ,O2    ,   ,  , 9.1e-12, 0.00,     0.0,NE
 255,O      ,HCP    ,CO     ,PH    ,   ,  , 4.0e-11, 0.00,     0.0,NE
 256,O      ,HCS    ,OCS    ,H     ,   ,  , 4.0e-11, 0.50,     0.0,NE
 257,O      ,NS     ,NO     ,S     ,   ,  , 5.0e-11, 0.50,     0.0,NE
 258,O      ,NS     ,SO     ,N     ,   ,  , 1.7e-11, 0.50,  4000.0,NE
 259,O      ,CH2PH  ,PH2    ,CO    ,H  ,  , 4.0e-11, 0.00,     0.0,NE
 260,O      ,CCL    ,CL     ,CO    ,   ,  , 1.0e-10, 0.00,     0.0,NE
 261,O      ,CCL    ,C      ,CLO   ,   ,  , 1.4e-10, 0.00, 16050.0,NE
 262,O      ,SO     ,SO2    ,PHOTON,   ,  , 3.2e-16,-1.50,     0.0,NA
 263,O      ,SO     ,S      ,O2    ,   ,  , 6.6e-13, 0.00,  2760.0,NE
 264,O      ,HPO    ,PO     ,OH    ,   ,  , 4.0e-11, 0.00,     0.0,NE
 265,O      ,C4     ,CO     ,C3    ,   ,  , 5.0e-11, 0.50,     0.0,NE
 266,O      ,C4H    ,CO     ,C3H   ,   ,  , 1.0e-10, 0.00,   250.0,NE
 267,O      ,C3N    ,CCN    ,CO    ,   ,  , 2.0e-11, 0.50,     0.0,NE
 268,O      ,CLO    ,CL     ,O2    ,   ,  , 3.8e-11, 0.00,     0.0,NE
 269,O      ,SIC2   ,SIC    ,CO    ,   ,  , 4.0e-11, 0.00,     0.0,NE
 270,O      ,C3O    ,C3     ,O2    ,   ,  , 1.0e-11, 0.00,     0.0,NE
 271,O      ,SINC   ,SIN    ,CO    ,   ,  , 4.0e-11, 0.00,     0.0,NE
 272,O      ,CCP    ,CP     ,CO    ,   ,  , 4.0e-11, 0.00,     0.0,NE
 273,O      ,HCCP   ,HCP    ,CO    ,   ,  , 4.0e-11, 0.00,     0.0,NE
 274,O      ,C5     ,CO     ,C4    ,   ,  , 5.0e-11, 0.50,     0.0,NE
 275,O      ,OCS    ,CO     ,SO    ,   ,  , 1.6e-11, 0.00,  2150.0,NE
